 CustomerID ,full_name,email,phone,address_line,city,region,postal_code,country,birth_date,signup_date,last_purchase_date,status,tier,preferred_language,marketing_opt_in,total_spend,order_count,notes
CUST000012,Niaj Green,niaj-green@mail.test,+81 90 5281 6850,"2-7-11 Taito, Sunrise Bldg.",Namba,Saitama,〒322-1418,Japan,,2020-12-03 11:35:59,2022-08-30,active,gold,en_GB,0,¥0   ,1,do not call before 09:00
CUST000013,Olivia Jones,olivia_jones@example.com,851.888.8806, 723 Lake Rd ,Chicago,TX,51531,United States,1986-08-27,25-10-2021,2021-10-28,  pending   ,  bronze,,1,168.02   ,12,asked about refund policy
CUST000014,Peggy Anderson,peggy-anderson@example.net,  (312) 172-7155,9021 Sunset Blvd,New York,NJ,25831 ,United States,1995-01-14 09:54:05,12/09/2019,2021-05-25,inactive,bronze,jp,true,¥97,10,"do not call before 09:00, urgent"
CUST000015,Sybil Perez,sybilperez@demo.local,+81-42-7877-4701   ,2-7-19 Meguro,yokohama,Tokyo Pref.,047-9748,Japan,06-07-1992,2021-04-23,2024-10-04,active,  silver,en,0,634.62,0,"coupon code used: CHMB2U, low priority"
CUST000016,Trent Lewis,trent.lewis@mail.test,4375758441   ,  8909 Lake Road,SYDNEY,Unknown,40415,Germany,1977-02-11,2022-06-07,2023-07-05,pending,gold,ja,1,1186.73,2,asked about refund policy
CUST000017,Victor Scott,victor..scott@mail.test,+81-90-4593-3272,"4-23-18 Kita, Sunrise Bldg.",sapporo,Osaka, 391-8785,JP,1991-05-16,2020-06-10,2021/05/03,active,bronze,en-US,1,0.00,5,asked about refund policy
CUST000018, Walter Nelson,walter_nelson@demo.local,926.870.5685   ,"6698 Pine Blvd, Unit 24",Berlin,Unknown,73342,Germany,06-10-2001,05/21/2020,2021/03/10,active,silver,jp,No,398.00,5,"moved recently; verify address, low priority"
CUST000018, Walter Nelson,walter_nelson@demo.local,926.870.5685   ,"6698 Pine Blvd, Unit 24",Berlin,Unknown,73342,Germany,06-10-2001,05/21/2020,2021/03/10,active,silver,jp,No,398.00,5,"moved recently; verify address, low priority"
CUST000019,Yvonne Davis,yvonne.davis@example.net,+81 31 1823 3984,"4-3-12 Taito, Apt. 1764",Yokohama,Chiba,9334101,JPN,1956-07-15,2023-01-04,13-08-2024,banned, silver,,1,0.00,0,
CUST000020,Zara Thomas,zara.thomas@demo.local,(826) 224-4472,"2749 Lake Blvd, Apt 432",Miami,FL,15437,United States   ,2005-03-13,2025/09/27,01/01/2026,inactive,silver,ja,1,,6,"VIP, handle with care, ok"
CUST000021,"White, Uma",uma.white@mail.test,080-7514-0105,"2-17-6 Shibuya, Skyline Tower",Nagoya,  Kanagawa,〒867-3622,  Japan  ,1995-11-07 13:38:08,2020-07-01,2022/06/03,banned,silver,jp,0,1579.90,2,coupon code used: SCRO8S
CUST000022,Oscar Walker,oscar.walker@example.org,09-0959-62923,"5-12-18 Chiyoda, Sunrise Bldg.",   Sapporo,Tokyo,  544-9481,Japan,1962-10-21 10:53:18,13-12-2019,2021-11-25,banned,platinum,en_GB,0,1164.55  ,4,"asked  about  refund  policy,  urgent"
CUST000023,Quinn Nguyen,quinn-nguyen@mail.test,3269731121 ,6301 Elm Road,Austin,TX, 41389 ,United States,2005/07/14,2017-10-08,2020-09-28,pending,gold,ja,  Yes   ,1611.16,0,"asked about refund policy, urgent"
CUST000024,Rita Johnson,rita-johnson202@example.org  ,08-0622-08635,3-9-3 Setagaya,Kobe,Osaka    ,802-3806,JPN ,1965-05-07,2024-07-24,2026-01-01,banned,gold,,0,707.61,7,"VIP, handle with care, urgent"
CUST000025,Steve Rodriguez,steve.rodriguez@example.net,(121) 003-2365,9550 2nd Blvd,San Francisco,TX,13721,United States,2004-11-16,15-07-2021,01/27/2024,PENDING  ,bronze,EN,Yes,2791.33,9,"moved  recently;  verify  address,  ok"
CUST000026, Trudy Jackson,trudy.jackson@mail.test  ,  2267528953,   2882 Lake Blvd,LONDON,  Unknown,22096,United Kingdom,1990-06-28,2021-03-11,2025-02-20,active,bronze,en_GB,1  ,¥1297,0,coupon code used: GDZ95J
CUST000027,Wendy Sanchez,wendy.sanchez@example.org,012-1158-6938,"5-14-18 Setagaya, Sunrise Bldg.",nagoya,Okinawa,〒741-6089,Japan,1959-01-02,02/04/2019,2021-08-04,inactive,BRONZE,en,1,2059.05,18,coupon code used: IT2UR0
CUST000028,"Allen, Xavier",xavier.allen@mail.test,578.610.3579  ,2919 Hill Lane,Seattle,CA   ,41406-9333,United States,07/15/1959,2017-05-16,2019-12-06,inactive,bronze,en,1   ,2404.46,7,moved recently; verify address
CUST000029,Yuki Flores,yuki.flores@example.net,NULL,"2356 Elm Ave, Apt 798", Atlanta,GA,52500,United States,13-05-1997,2023-12-18,11-05-2024,inactive,gold,jp,1,  ,0,language preference unclear
CUST000030,Ken Brown,    kenbrown@example..com,+81 82 1811 4374,"1-4-6 Meguro, Skyline Tower",Umeda,Hyogo,556-1100,Japan,1984-08-29,2024/09/19,2026-01-01,   inactive,bronze,ja,0,1533.26 ,4,asked about refund policy  
CUST000031,Mika Martinez,mika.martinez@example.com,08-5899-75711,3-12-10 Chiyoda,Naha  ,Fukuoka,〒027-2614,Japan,1995-12-06,04/23/2023,2024-06-19,inactive,bronze,EN,0,72.18,9,"language preference unclear, ok (said ""thanks!"")"
CUST000032,   Sora Lee,sora.lee6252@example.net ,+1 658 004 3973,9650 Sunset Avenue,Sydney,   NA,47212,Canada,1980-10-21,2025-10-18,2026-01-01,Active,  silver,JA,1,,5,"requested invoice as ""PDF"""
CUST000033,Hana Ramirez,hana.ramirez@example.com,,"3-25-15 Minato, Apt. 1663",Hakata,Hyogo Pref.,〒072-8326,Japan,1956-07-07,11/09/2021,08/18/2023,pending, platinum,JA,1,0.00,0,"moved recently; verify address, low priority"
CUST000034,Taro Wright,taro.wright @ demo.local,427-881-6580   ,2727 Sunset Ave,Singapore,-,99275-7314,Canada,1987-10-27,2025-09-11,2026-01-01,pending,bronze,   EN,0,0.00,5,do not call before 10:30
CUST000035,Ryo Adams,ryo.adams@example.com,(172) 980-6865,"8690 Lake Avenue, Apt 961",Toronto,NA,59916-7314, France,1958-07-03,11/24/2023,2026/01/01,banned, bronze, ja,1,845.71 ,5,"requested invoice as ""PDF""  "
CUST000036,Alice Miller,alice.miller@mail.test,+81 90 1818 4518,"4-13-19 Taito, Sunrise Bldg.",Umeda,Fukuoka,5779071,Japan ,1995-10-19,2023-10-20,2024-11-21,  active,silver,JA,0,1108.82,13,moved recently; verify address
CUST000037,Bob Taylor,bob-taylor@example.com,2672885744,9313 Main Road,Sydney   ,NA,03471,ca,1972-08-03,11/06/2021,2023/12/26,pending,   bronze,ja,1  ,   0.00,2,"coupon code used: S2II7K, urgent"
CUST000038,      Carol  Thompson,carol.thompson@example.com,+1 082 547 8077,159 Lake Blvd,New York,WA ,85368, US,25-10-1987,2021-12-15,2023-09-06,inactive,bronze  ,JA,0,  174.79,9,duplicate in legacy system
CUST000039,Dave Robinson,dave.robinson@example.com, +1 052 812 7358,7197 Cedar St,Seattle,NY,24077,   United States ,,2018-10-08,07/27/2021,BANNED, bronze,EN,1,8.47,12,"VIP, handle with care"
CUST000040,Eve Torres,eve.torres@mail.test,5665939836  ,4172 Elm Ln,Newark,TX,   04908-4043,  US,1986/08/10,2023-09-24,2026-01-01,inactive,gold   ,EN,1,1451.40,0,"requested invoice as ""PDF"""
CUST000041,Frank Smith,frank.smith@mail.test,080-9270-3352,"1-8-20 Minato, Skyline Tower ",nagoya  ,Hokkaido  ,0514770,Japan,1957-03-04 14:35:59,2023-08-30,,inactive,gold,JA,1   ,¥0,3,coupon code used: 0PJ1TV
CUST000042,  Grace Garcia,grace.garcia@example.net,  05742312209,"5-19-20 Taito, Sunrise Bldg.",Shinjuku,Chiba,〒305-1728,Japan ,1968-01-21,,2020-11-05,banned,  gold,JA,TRUE,1476.46,1,moved recently; verify address
CUST000043, Heidi Moore,742.123.0940,  heidi.moore5048 @ mail.test,"8163 Hill Lane, Unit 1",AUSTIN,GA,73397,United States  ,1971-01-18,2018/10/27,2019-08-19,banned,bronze,JA,1,887.63,12,do not call before 10:30
CUST000044,Ivan Harris,ivan.harris @ demo.local,(576) 084-9588,3422 2nd Rd,Denver,MA,24056,United States,1967-03-07,2022/04/28,2022-07-09, inactive,Platinum,EN,1 ,0.00,0,  
CUST45,Judy Young,judy_young@example.net,+81-70-2945-6255," 1-3-16 Meguro, Skyline Tower",Kobe,HYOGO,772-4599, Japan,1997-01-04,24-06-2018,2018-12-31,active,silver,en_GB,0,1747.58,,"requested invoice as ""PDF"", low priority"
CUST000046,Mallory Hill,malloryhill@example.org,   762-126-7969,"7454 Sunset Road, Apt 566",austin,FL,53269-7384,United States,04/06/1966,,2023-12-29,banned,  platinum,ja  ,1,1094.56,6,coupon code used: 5L7CVF
,"Williams, Niaj",090-6047-6580,niaj.williams@example.net,"4-20-9 Kita, Skyline Tower   ",Sapporo,Fukuoka Pref.,〒414-9673,JPN,1975-12-18,05/15/2025,2026/01/01,inactive,silver,JA ,   1,1629.56,5,do not call before 18:00
CUST000048,Olivia Wilson,olivia.wilson@example.com, 08-0174-32806,"4-29-4 Taito, Apt. 1572",Nagoya,Chiba   ,〒173-2030,Japan,1982-03-03,2020-09-27,2024-07-24 19:14:04,inactive,silver,EN,TRUE,103.04,4,duplicate in legacy system
CUST000049,Peggy Martin   ,peggymartin@example.com,(958) 837-3403,2454 Hill Ln,boston,IL,05436,United States,2005-01-13,,2021-09-21,banned,bronze,   EN,0,1348.57,4,asked about refund policy  
CUST000050,Sybil Clark,sybil_clark@example.com,  1658046498,"3403 Oak Rd, Unit 8",Toronto,,50165,United Kingdom,05/14/1991,2022-03-15,2022-12-23,active,Silver,en,No, ¥537,5,moved recently; verify address
CUST000051,Trent King,trent.king@example.org,  +81 70 5525 7828,"1-13-16 Minato, Apt. 696",   shibuya,Osaka  ,5208854,   Japan,1966-05-07,20-07-2020,09-10-2023,pending,platinum,,0,2183.55,5,do not call before 10:30
CUST000052,Victor Green,victor.green@demo.local,+81 89 6471 5890,"5-2-5 Shibuya, Apt. 1410",Umeda,Hyogo,〒252-0456,Japan,1979-11-14,2017-04-27,2017/12/27, pending,bronze,jp,TRUE,618.79   ,4,language preference unclear 
CUST000053,Walter Jones,walter-jones@demo.local,+81 70 4280 1387,"4-22-4 Shibuya, Skyline Tower",Kobe,   Chiba,6638361 ,Japan,27-02-2006,09/18/2019,07/18/2022,active,silver,,1,0.00,,prefers email contact
cust000054,"Anderson, Yvonne",yvonneanderson@mail.test,2762467197   ,8847 2nd Ln,Boston,CO  ,na,United States,1996-03-28,2021-03-22,2023-09-14,banned,silver,ja,Y,1633.46,5,duplicate in legacy system
cust000055,Zara Perez,zara.perez@example.org,,2641 Maple Avenue,Miami,GA,23034,   United States,16-05-1960,2023-05-08,01-01-2026,banned,silver,jp   ,0,1063.39,9,  prefers email contact
CUST000056,Uma Lewis   ,uma.lewis@example.com,(248) 156-9857,863 Pine Ln,Denver,NY,06345,United States,1984-11-06,14-04-2022,2024-08-06,Active,   bronze,JA,1,2515.31,4,language preference unclear
CUST000057,Oscar Scott,oscar.scott@demo.local,+81 70 4287 5721,2-9-4 Setagaya,Kobe,Chiba   ,  〒274-5644,JPN,1990-05-30,2021-04-10 18:11:26,2022-12-20,pending    ,silver,  en-US,1,1598.76,13,"asked about refund policy, urgent "
CUST000058,Quinn Nelson,quinn.nelsonmail.test, 080-1659-2661,"4-22-8 Kita, Apt. 736",   Nagoya,   Osaka,8814761,Japan,1998-12-04,2022-10-01,2023-11-14, pending   ,bronze,jp, 1 ,2265.91  ,0,"requested  invoice  as  ""PDF"",  ok"
CUST000059,   Rita Davis,rita.davis@example.net,308.069.5814,7765 Oak Ln,London,Unknown,76024,  FR,1998-08-11,2022-06-20,,banned,bronze,JA, 1,1222.92 ,16,"VIP, handle with care"
CUST000059,   Rita Davis,rita.davis@example.net,308.069.5814,7765 Oak Ln,London,Unknown,76024,  FR,1998-08-11,2022-06-20,,banned,bronze,JA, 1,1222.92 ,16,"VIP, handle with care"
CUST000060,Steve Thomas  ,steve.thomas@example.org,+81 90 6326 6678,4-5-1 Chiyoda  ,Namba,Chiba,556-2606,Japan,1988-05-30,12/16/2017,2019-06-13 09:33:21,inactive   ,platinum,jp,1,,0,"requested invoice as ""PDF"", low priority   "
CUST000061,Trudy White ,trudy.white @ example.org,772-881-3770,9169 Elm Street,Toronto,-,15940,France,05/27/1992,23-09-2024,2026-01-01,active,silver,ja   ,0,   509.01,,coupon code used: P2F8UZ   
CUST000062,Wendy Walker  ,wendy.walker@mail.test      ,4610339937,8274 Lake Street,SAN FRANCISCO,ca,78617-3048,   United States,1963-11-10,2020-05-05,2022-07-12,active,bronze,en_GB,   No, 1018.36,1,duplicate in legacy system
CUST000063,Xavier Nguyen,   xavier.nguyen@demo.local,07-0614-98728,"1-19-5 Shibuya, Sunrise Bldg.",UMEDA,Aichi,〒493-8430,   Japan  ,,2022-07-16,2024-07-28,pending,gold,en_GB,false,1799.90  ,6,"VIP, handle with care"
CUST000064,Yuki Johnson,yuki-johnson@example.net,09072320024,"5-21-12 Setagaya, Sunrise Bldg.",Kobe, Osaka,274-9545,Japan,2006-06-05,,,inactive,bronze,EN,1  ,,0,"do not call before 18:00 (said ""thanks!"")"
CUST000065,Ken Rodriguez,ken.rodriguez@example.com,+81 22 8685 7872  ,"   5-23-16 Kita, Apt. 2127",Yokohama,Tokyo,496-9033, JP,2007-05-27,06/02/2018,2021-04-07,banned,gold,JA,1,200.02,15,language preference unclear
CUST000066, Mika Jackson   ,mikajackson@example.org,06999966361  ,"2-16-4 Setagaya, Apt. 1447   ",Naha,Okinawa,〒412-1820,Japan,08/29/2007,12-05-2020,2022-03-10,banned ,bronze,en-US,1,N/A ,3,"VIP, handle with care"
CUST000067,Sora Sanchez  ,sora.sanchez @ example.net,  08022091241,NULL, Sapporo,Hyogo Pref.  ,7523083,  JPN,28-05-1962,05-03-2022,2022/07/22,active,gold,en-US  ,0,0.00,0,moved recently; verify address
CUST000068,Hana Allen,hana.allen@mail.test,0355338033,6260 Sunset Rd,Boston,IL,17130,  United States,2001-09-23,03/21/2024,2024/06/10,inactive,platinum,jp,1,1373.92 ,11,  duplicate in legacy system
CUST000069,Taro Flores,taro.flores3094@example.net,080-4488-6946,"5-25-12 Minato, Skyline Tower",Hakata,Osaka Pref. ,364-0270, Japan,,06/17/2021,2025-06-02,active,gold,jp,  1,,8,"VIP, handle with care (said ""thanks!"")"
CUST000070,Ryo Brown, ryobrown@demo.local,(802) 714-8727,7909 Sunset Avenue,Singapore,, 11602  ,  Singapore,21-06-2009,2021-04-26,18-12-2022,pending,platinum,ja,No,978.56,9,do not call before 14:00
CUST000071,Alice Martinez ,alice.martinez@demo.local,+1 443 861 2590  ,"   7506 Pine Ave, Apt 453",Miami ,MA,42333  ,United States,1986-04-01,2024-08-08 21:58:32,01/01/2026,active,silver, en-US,0,2116.15,11,"VIP, handle with care"
CUST000071,Alice Martinez ,alice.martinez@demo.local,+1 443 861 2590  ,"   7506 Pine Ave, Apt 453",Miami ,MA,42333  ,United States,1986-04-01,2024-08-08 21:58:32,01/01/2026,active,silver, en-US,0,2116.15,11,"VIP, handle with care"
CUST000072,Bob Lee,bob_lee@demo.local,06-9883-10303,"2-5-20 Taito, Skyline Tower",Yokohama,Chiba,4296184,Japan,1994-12-01,2024-05-23,01/01/2026,banned,silver  ,JA,1,0.00,9,prefers email contact
CUST000073,Carol Ramirez,carol.ramirez3933@example.com,+81-70-1487-0682,"5-22-18 Meguro, Apt. 611   ",,Osaka,093-0685,  JP,,2021-07-24,04/25/2023,  active,silver   ,jp,  0,0.42   ,0,"duplicate in legacy system, urgent"
,Dave Wright,   dave.wright@example.com,639-282-3414,"7041 Cedar Ln, Unit 14  ",Miami, ma,92392,United  States      ,1993-12-19,2023-09-12,28-09-2023,inactive,silver,   ja,   1,1029.83,8,do not call before 09:00
CUST000075,Eve Adams, eve.adams@example.com,07-0908-78844,"3-18-4 Taito, Sunrise Bldg.",Hakata  ,Chiba Pref.,083-4024   ,JPN,1990/12/18,23-04-2023,06/30/2025,pending,gold,en-US, 1,3546.51,4," duplicate in legacy system, ok"
CUST000076,"Miller, Frank",frank.miller@example.com,001-841-8620,403 Cedar Road,Austin,CO,43617-1314,United States  ,10/06/2003,2019-09-26,2020-01-18,pending,bronze,EN,1,0.00,14,"moved recently; verify address (said ""thanks!"")"
CUST000077, Grace Taylor,grace.taylor9731@example.org   ,08-0213-10962,"2-24-17 Meguro, Apt. 1327",Hakata,Tokyo,657-0412,JP,1964-07-05,03-03-2021,2021-06-21,active,SILVER,EN,1  ,1332.89,10,
CUST000078,Heidi Thompson, heidi.thompson@mail.test,9606339912,8161 Oak St,Newark,GA,81717,United States,,2025-08-15,01/01/2026,pending  ,bronze,en-US,1,595.75,7,asked about refund policy 
CUST000079,Ivan Robinson,ivan_robinson@example.net,782-659-6089,1284 2nd Ave,New York,CA,02727,United States,20-08-1981,2021-10-22,2023/09/22,active,gold,ja,0,734.24  ,13,duplicate in legacy system
CUST000080,Judy Torres,judy.torres@demo.local ,,"6454  Main  Road,  Apt  132",  San Francisco   ,FL,26582,United States,1968-10-04,2017-03-05,2017-04-27,Active,  gold,ja ,1,1718.76,10,prefers email contact
CUST81,  Mallory Smith,mallory.smith@example.net,08034234619,"2-26-7  Taito,  Apt.  2099",Nagoya,N/A,〒769-4591,JP,1981-05-28,2024-12-10,2026-01-01,banned,silver,en,No,,11,duplicate in legacy system
CUST000082,Niaj Garcia,  niaj.garcia@example.org,+81 70 5800 4010  ,"3-11-20 Minato, Skyline Tower",  Shibuya ,Tokyo,229-7125,Japan ,19-12-1983,2018-07-23,2019-02-23,banned,silver,ja,1   ,188.62,5,"VIP, handle with care, urgent"
,Olivia Moore,,N/A,"2-11-3 Shinjuku, Sunrise Bldg.",umeda,N/A,572-0765,Japan,1979-01-25 20:01:09,2025-03-26,2026-01-01,inactive,platinum,ja,0,1577,13, do not call before 18:00
CUST000084, Peggy Harris ,peggy_harris@example.com ,07-0548-82142,"5-30-3 Setagaya, Sunrise Bldg.",Shinjuku   ,Saitama,075-3666      ,JP,1982-06-09,06-08-2017,2020-05-02,pending  ,platinum,JA,Yes,"1,296.29",10," requested invoice as ""PDF"""
CUST000085,"Young, Sybil",sybil-young@example.org,+1 883 774 4197,"4518 Lake Road, Apt 715",Toronto   ,,66204,Australia,1956-12-10,2018-08-23 21:33:16,2022-03-17,banned,BRONZE,en_GB,1 ,0.00,0,"VIP, handle with care"
CUST000086, Trent Hill ,trent.hill3037@demo.local,070-9785-5982,4-21-13 Meguro,Shibuya,kanagawa,284-1173,  Japan   ,2005-12-25,2021-01-12,,pending,bronze,EN,0  ,431.00,15,"language preference unclear, ok"
CUST000087,Victor Williams  ,victor.williams@example.org,429-671-1148,8118 Elm Avenue,Denver,  TX,      58438,United States,1958-12-03,2019-01-10,,pending,,,1,2672.96,9,"requested invoice as ""PDF"""
CUST000088,Walter Wilson,walter.wilson@example.net,N/A,7226 Pine Blvd ,Toronto,-,72322,Germany,1955-10-18,,2019-08-29,   active,bronze,en,0,1279.52,11,"requested invoice as ""PDF"""
CUST000089,Yvonne  Martin,yvonne.martin@example.org,046-9294-4551,"4-17-5 Setagaya, Sunrise Bldg.",Umeda,Saitama,〒270-2164,jp,1975-08-12,2022-01-13,2024-05-19,banned,gold  ,,   1,1784.55,7,do not call before 14:00
CUST000089,Yvonne  Martin,yvonne.martin@example.org,046-9294-4551,"4-17-5 Setagaya, Sunrise Bldg.",Umeda,Saitama,〒270-2164,jp,1975-08-12,2022-01-13,2024-05-19,banned,gold  ,,   1,1784.55,7,do not call before 14:00
CUST000090,Zara Clark,zara.clark@mail.test,027-6741-2415,"1-11-6 Shinjuku, Skyline Tower",,Fukuoka,478-1506,Japan,1994-11-28,2021-10-13,2025-11-20 20:25:38,pending ,bronze,en-US,1,1510.51,0,  duplicate in legacy system
cust000091,Uma  King,uma-king @ mail.test,+81-91-0835-8328,"3-26-6 Shinjuku, Skyline Tower",Shibuya,Chiba   ,〒638-3000,JP,1989-01-07,2025/02/06,03/21/2025,active,silver  ,ja,0,1558.50,7,"language preference unclear, urgent"
CUST000092,Oscar Green,oscar.green@example.org,8123710672,7992 Pine Lane,New York,nj,   41644,United States,12/14/1961,2018-03-07,2020-07-25,pending,silver ,en-US   ,1,508.15,13,coupon code used: NFJJK4
CUST000093,  Quinn Jones,quinn.jones@mail.test,09-0652-05756,"4-12-6 Shinjuku, Sunrise Bldg.   ",Yokohama, Kanagawa,7583094,Japan,1994-03-24,12/23/2024,2025-10-11,active,platinum,en,   0,   704.46,5,prefers email contact 
CUST000094,Rita Anderson,rita.anderson@example.org,+81 80 3343 2447,"4-12-19 Minato, Skyline Tower",Namba,Aichi,〒872-0962,Japan,1989-01-11,2020-06-25,2020/10/12,inactive,platinum,en,1,21.81   ,0,"requested invoice as ""PDF"""
CUST000095,Steve Perez  , steve.perez@example.net,+81 80 3162 5265,"5-13-18 Setagaya, Skyline Tower",NAGOYA,Kanagawa   ,7903923,Japan   ,2004/04/29,2018-02-14,05-10-2020,pending,bronze,en-US,0,0.00,0,do not call before 14:00
CUST000096,Trudy Lewis,trudy.lewis@example.org,099-7015-5029,"5-24-3 Setagaya, Skyline Tower",Sapporo  ,Kanagawa Pref.,660-2416  ,Japan,1985-12-26,2021-11-01,2023/05/17,inactive,silver,   ,0,12.38,,asked about refund policy
CUST000097,Wendy Scott,wendy.scott@mail.test,888-636-7747,2920  Lake  Blvd    ,Chicago,GA,72169,United States,06/23/1964,2020-08-01,2022/08/14,banned,silver   ,en_GB  ,0,489.29,4,"prefers email contact, urgent"
CUST000098,Xavier Nelson, xavier.nelson@example.org   ,284-035-9544,9310 Maple Ln,Boston,CO ,22294,United States,1978-02-20,2025-10-31,2026-01-01,pending,  silver,ja   ,TRUE,1032.41   ,10,"VIP, handle with care"
CUST000099,   Yuki Davis,yuki.davis@example.net,+1 947 258 7844," 8729 Cedar Rd, Unit 87",  Atlanta,WA,84712,United States,12/07/1995,2024-02-14,2026-01-01,pending,gold,en,1   ,285.30,6,"requested invoice as ""PDF"", ok"
CUST000100,Ken Thomas,ken-thomas6780@example.org,+81 59 3817 3598,"1-5-3 Taito, Skyline Tower",Sapporo, Hokkaido,7325737,Japan,1997-05-01,2020/03/10,10/23/2020,pending,bronze,,0  ,781,12,"moved recently; verify address, low priority"
CUST000101,Mika White,mika..white@example.org,08-0763-36911,"2-25-7 Minato, Apt. 593",Shinjuku  ,hyogo,〒955-6331,jp,1994-10-30,2021/03/17,2021-05-08,pending,silver ,JA , 1,1002.75,,coupon code used: F0EH43
CUST000102,Sora Walker,02334245798,sora.walker@mail.test,"2-11-14 Taito, Sunrise Bldg.",Namba,Chiba,906-0320,JP  ,1962-05-17,2018-08-08,2019-11-12,active,gold,en-US,1,739.91,6,"requested invoice as ""PDF""  "
CUST000103,Hana Nguyen  ,hana_nguyen@example.org,+81 70 6693 3513,"4-4-19 Shibuya, Sunrise Bldg.  ",Kobe,   Saitama,7245018,Japan,1991-10-26,10/01/2017,01/30/2018,active,Gold,   JA,1,   ,11,moved  recently;  verify  address
CUST000104,Taro Johnson,taro.johnson@mail.test,   +81 33 8856 5271,"5-18-8 Kita, Skyline Tower",   yokohama,Aichi,   1165972, Japan,1984-02-11,2022-01-01,04/08/2022,inactive,bronze ,en_GB,0,0.00,13,"do not call before 14:00, low priority"
CUST000105,Ryo Rodriguez,ryo.rodriguez2808@example.com   ,   +1 878 057 2151  ," 9344 Maple St, Apt 731",Toronto, ,62637,Canada,1999-08-08,2023/12/10,01/01/2026,pending,bronze    ,en ,  1,2398.24 ,0,coupon code used: WGJXL2
CUST000106,Alice Jackson  ,alice.jackson@example.com ,(535) 237-3605,7881 2nd Street,singapore,-,  58998,United Kingdom,1995-03-09,2023-02-23 21:44:02,2025-04-29,inactive,bronze,EN    ,No,913.60 ,1,duplicate  in  legacy  system
CUST000107,Bob Sanchez  ,bob.sanchez @ example.com, +81-73-1873-2807,"1-8-2 Minato, Sunrise Bldg.",Hakata ,  Fukuoka ,〒113-6957,JP   ,1980-09-12,12-03-2020,2023-03-15,Inactive, silver,en,0,295.58,0,asked about refund policy
CUST000108,Carol  Allen,carol.allen@example.org,8333393957,6698 Elm Blvd,Denver,Colorado,71874, US,1987-08-14,11-05-2021,2023-12-16,banned   ,bronze,en-US,1,351.99,5,asked about refund policy
CUST000109,"Flores, Dave ",dave.flores@example.com,   08009962543  ,"5-29-1 Taito, Skyline Tower",Hakata,Fukuoka Pref.,  2034476,Japan ,1972-09-07,2018-09-05,20-04-2019,??,BRONZE,en_GB, 0, N/A   ,,"VIP, handle with care"
CUST000110,  Eve Brown,eve.brown@mail.test,080-5380-4421,4-12-2 Minato,Umeda,Hokkaido Pref.,〒701-5959,Japan,2008-02-20,2018-10-28,01/13/2021,ACTIVE,silver,en_GB, 0  ,493.68,10,do not call before 14:00
